id,alias,name,is_closed,review_count,categories,rating,transactions,price,address,city,country,state,display_address,phone
ud9ocsQHI7h3zNO7FdOFYQ,zareens-mountain-view-3,Zareen's,False,1804,Halal,4.5,"['pickup', 'delivery']",$$,1477 Plymouth St,Mountain View,US,CA,"['1477 Plymouth St', 'Ste C', 'Mountain View, CA 94043']",+16506410335
_YDK0w05YAO99aQudHGpkA,philz-coffee-palo-alto-5,Philz Coffee,False,1153,Coffee & Tea,4.5,['delivery'],$,3191 Middlefield Rd,Palo Alto,US,CA,"['3191 Middlefield Rd', 'Palo Alto, CA 94303']",+16502519798
OPuFiXxckMS6U5KZjQWYFw,dittmers-gourmet-meats-and-wurst-haus-los-altos-2,Dittmer's Gourmet Meats & Wurst-Haus,False,678,Meat Shops,4.5,"['pickup', 'delivery']",$$,4540 El Camino Real,Los Altos,US,CA,"['4540 El Camino Real', 'Los Altos, CA 94022']",+16509413800
HYbKSGCg8hqLw6J_X7qbyQ,acqua-e-farina-hayward,Acqua e Farina,False,974,Italian,4.5,['delivery'],$$,22622 Main St,Hayward,US,CA,"['22622 Main St', 'Hayward, CA 94541']",+15108881568
tEnhREqfSe8MBwqtdcjL9A,dish-n-dash-milpitas-milpitas-3,Dish N Dash Milpitas,False,1246,Middle Eastern,4.5,"['pickup', 'delivery']",$$,181 Ranch Dr,Milpitas,US,CA,"['181 Ranch Dr', 'Milpitas, CA 95035']",+14082626949
vx62TkaXqgOTw0w0BZM9kw,ghazni-afghan-kabobs-hayward,Ghazni Afghan Kabobs,False,975,Afghan,4.5,"['pickup', 'delivery']",$$,1235 A St,Hayward,US,CA,"['1235 A St', 'Hayward, CA 94541']",+15103988940
I63u4dWV5EN2UXbKBTbBCw,hippies-brew-express-hayward-2,Hippies Brew Express,False,1595,Coffee & Tea,4.5,"['pickup', 'delivery']",$,888 C St,Hayward,US,CA,"['888 C St', 'Hayward, CA 94541']",+15104618629
vWiMtE4uj6uCZxjQHcOz-w,bombay-pizza-house-fremont,Bombay Pizza House,False,884,Pizza,4.5,"['pickup', 'delivery']",$$,4922 Paseo Padre Pkwy,Fremont,US,CA,"['4922 Paseo Padre Pkwy', 'Fremont, CA 94555']",+15107967700
p5OO-EvUSz-ZcaLGXwvj-w,frodo-joes-coffee-and-tea-san-lorenzo,Frodo Joe's Coffee & Tea,False,731,Coffee & Tea,4.5,['delivery'],$,17665 Hesperian Blvd,San Lorenzo,US,CA,"['17665 Hesperian Blvd', 'San Lorenzo, CA 94580']",+15104811844
vIC6NMct6v9a3k2XAgNUJA,dish-n-dash-fremont-fremont,Dish N Dash - Fremont,False,726,Middle Eastern,4.5,['delivery'],$$,43514 Christy St,Fremont,US,CA,"['43514 Christy St', 'Fremont, CA 94538']",+15102499220
VfpoAilO-8D7aywIKEdFXQ,the-press-pleasanton,The Press Cafe,False,1188,Cafes,4.5,"['pickup', 'delivery']",$$,1987 Santa Rita Rd,Pleasanton,US,CA,"['1987 Santa Rita Rd', 'Ste H', 'Pleasanton, CA 94566']",+19258469900
2_NepvKyJwu5BgYsSXCk_w,hironori-craft-ramen-santa-clara,HiroNori Craft Ramen,False,1310,Ramen,4.5,"['pickup', 'delivery', 'restaurant_reservation']",$$,4300 Great America Pkwy,Santa Clara,US,CA,"['4300 Great America Pkwy', 'Ste 180', 'Santa Clara, CA 95054']",+16693425146
8nK6-uY6wBCFj_NAa4lLjA,pacific-pourhouse-union-city,Pacific PourHouse,False,832,American (New),4.5,"['restaurant_reservation', 'pickup', 'delivery']",$$,32216 Dyer St,Union City,US,CA,"['32216 Dyer St', 'Union City, CA 94587']",+15107687333
cFCc8E8vOCFLWG9BJ6TNSg,tayyibaat-meat-and-grill-milpitas-4,Tayyibaat Meat And Grill,False,1030,Halal,4.5,"['pickup', 'delivery']",$$,10 S Abbott Ave,Milpitas,US,CA,"['10 S Abbott Ave', 'Milpitas, CA 95035']",+14085869700
6yV_yKXWTEgmBbg27T9-Xg,bun-appétit-donuts-fremont-2,Bun Appétit Donuts,False,717,Donuts,4.5,['delivery'],$,37120 Fremont Blvd,Fremont,US,CA,"['37120 Fremont Blvd', 'Ste A', 'Fremont, CA 94536']",+15105651292
-aiJmz-lKshxqmnHPzo8gw,gen-korean-bbq-house-milpitas-3,Gen Korean BBQ House,False,2751,Korean,4.5,[],$$,190 Barber Ct,Milpitas,US,CA,"['190 Barber Ct', 'Ste 500', 'Milpitas, CA 95035']",+14089550228
SwFKtoEOlWPlYfLVUyt7Dw,chicken-meets-rice-santa-clara,Chicken Meets Rice,False,801,Chicken Shop,4.5,"['pickup', 'delivery']",$$,2213 Tasman Dr,Santa Clara,US,CA,"['2213 Tasman Dr', 'Santa Clara, CA 95054']",+14082127928
GhowDzBiQkFVo-wxY9PqsA,esthers-german-bakery-los-altos,Esther's German Bakery,False,741,Bakeries,4.0,"['pickup', 'delivery']",$$,987 N San Antonio Rd,Los Altos,US,CA,"['987 N San Antonio Rd', 'Los Altos, CA 94022']",+16509414463
oa0k4i-zi_TdE-DQvCJNmg,bings-dumpling-fremont,Bing's Dumpling,False,749,Dim Sum,4.0,['delivery'],$$,34360 Fremont Blvd,Fremont,US,CA,"['34360 Fremont Blvd', 'Fremont, CA 94555']",+15103205360
Ce5JgEwL7G3HwalAFBcZEQ,napoletana-pizzeria-mountain-view,Napoletana Pizzeria,False,749,Italian,4.0,['delivery'],$$,1910 W El Camino Real,Mountain View,US,CA,"['1910 W El Camino Real', 'Ste C', 'Mountain View, CA 94040']",+16509694884
DxFt5dsEWPZRoFD6EQ_HnA,loving-hut-milpitas-milpitas,Loving Hut - Milpitas,False,963,Vegetarian,4.0,['pickup'],$$,516 Barber Ln,Milpitas,US,CA,"['516 Barber Ln', 'Milpitas, CA 95035']",+14089430250
5SFgMsPJc4VjfHpCyCnINg,doppio-zero-mountain-view,Doppio Zero,False,972,Pizza,4.0,"['pickup', 'delivery']",$$,160 Castro St,Mountain View,US,CA,"['160 Castro St', 'Mountain View, CA 94041']",+16509384147
FfSpbeI8_x7ozZUVryo5JA,parcel-104-santa-clara,Parcel 104,False,718,American (New),4.0,['delivery'],$$$,2700 Mission College Blvd,Santa Clara,US,CA,"['2700 Mission College Blvd', 'Santa Clara, CA 95054']",+14089706104
ajSiL0KXQF3T2Y0rfCyLYA,mint-and-basil-milpitas,Mint & Basil,False,1036,Vietnamese,4.0,"['pickup', 'delivery']",$$,1741 N Milpitas Blvd,Milpitas,US,CA,"['1741 N Milpitas Blvd', 'Milpitas, CA 95035']",+16692355285
LtIEogQDbjJ6MtlsjXjE4w,little-india-cafe-sunnyvale,Little India Cafe,False,722,Indian,4.0,"['pickup', 'delivery']",$$,415 N Mary Ave,Sunnyvale,US,CA,"['415 N Mary Ave', 'Ste 101', 'Sunnyvale, CA 94085']",+14082456200
t7S4OwGaGe3t60kn7wLsrA,jang-su-jang-milpitas-3,Jang Su Jang,False,1002,Korean,4.0,['delivery'],$$,269 W Calaveras Blvd,Milpitas,US,CA,"['269 W Calaveras Blvd', 'Milpitas, CA 95035']",+14082623434
i_GuYJ_1hmW-lHeQ4GmOiw,lazy-dog-restaurant-and-bar-newark-2,Lazy Dog Restaurant & Bar,False,1035,American (New),4.0,"['pickup', 'delivery']",$$,3100 Newpark Mall,Newark,US,CA,"['3100 Newpark Mall', 'Newark, CA 94560']",+15109252424
i5RlRZwPavkbKXdB_0zOHA,house-of-dumplings-union-city-2,House of Dumplings,False,1003,Chinese,4.0,"['pickup', 'delivery']",$,109 Appian Way,Union City,US,CA,"['109 Appian Way', 'Union City, CA 94587']",+15103248868
wM24MKgNxcWQ3WiZnE7kFA,dog-haus-fremont,Dog Haus,False,735,Hot Dogs,4.0,"['pickup', 'delivery']",$,43456 Boscell Rd,Fremont,US,CA,"['43456 Boscell Rd', 'Fremont, CA 94538']",+15104902800
l8GVZvw9fFVGPupJg5DMKA,eureka-mountain-view-2,Eureka!,False,951,American (Traditional),4.0,"['pickup', 'delivery']",$$,191 Castro St,Mountain View,US,CA,"['191 Castro St', 'Mountain View, CA 94041']",+16504260582
1gsJ5wVotJKHQ77IklHaWg,oasis-restaurant-and-wine-lounge-pleasanton-14,Oasis Restaurant & Wine Lounge,False,1028,Mediterranean,4.0,"['pickup', 'delivery', 'restaurant_reservation']",$$,780 Main St,Pleasanton,US,CA,"['780 Main St', 'Ste 101', 'Pleasanton, CA 94566']",+19254178438
DdC6vFyHcxvR92pUGZDO1g,bronco-billys-pizza-palace-fremont,Bronco Billy's Pizza Palace,False,721,Pizza,4.0,['delivery'],$,37651 Niles Blvd,Fremont,US,CA,"['37651 Niles Blvd', 'Fremont, CA 94536']",+15107921070
rhA4zoA5f45trMqMLY2NcQ,mikonos-grill-milpitas,Mikonos Grill,False,1017,Greek,4.0,"['pickup', 'delivery']",$$,756 E Calaveras Blvd,Milpitas,US,CA,"['756 E Calaveras Blvd', 'Milpitas, CA 95035']",+14089426972
avlVbL84dBfLwBIFNJ3BpA,sen-dai-sushi-milpitas,Sen Dai Sushi,False,3254,Japanese,4.0,['pickup'],$$,224 N Abel St,Milpitas,US,CA,"['224 N Abel St', 'Milpitas, CA 95035']",+14082631472
Sf1T-8QWkIUnLHq7zC7juQ,tasty-pot-newark,Tasty Pot,False,762,Taiwanese,4.0,['delivery'],$$,34909 Newark Blvd,Newark,US,CA,"['34909 Newark Blvd', 'Newark, CA 94560']",+15107978889
PPtP6TEkNL-FDSDlm74TKQ,milpitas-sgd-tofu-house-milpitas,Milpitas SGD Tofu House,False,939,Korean,4.0,"['pickup', 'delivery']",$$,231 W Calaveras Blvd,Milpitas,US,CA,"['231 W Calaveras Blvd', 'Milpitas, CA 95035']",+14082625454
JPItDtK9nz1oMW2vt6XU3g,papillon-fremont,Papillon,False,858,French,4.0,"['restaurant_reservation', 'pickup', 'delivery']",$$$,37296 Mission Blvd,Fremont,US,CA,"['37296 Mission Blvd', 'Fremont, CA 94536']",+15107936331
BRDTqJZxuF-V9EO6nkElAw,bajis-cafe-mountain-view,Bajis Cafe,False,817,Breakfast & Brunch,4.0,"['pickup', 'delivery']",$$,2423 Old Middlefield Way,Mountain View,US,CA,"['2423 Old Middlefield Way', 'Ste A', 'Mountain View, CA 94043']",+16509677477
8GGNNPwqqCwJdsu93R2Hww,the-kebab-shop-fremont-2,The Kebab Shop,False,819,Mediterranean,4.0,['delivery'],$$,43834 Pacific Commons Blvd,Fremont,US,CA,"['43834 Pacific Commons Blvd', 'Fremont, CA 94538']",+15104902700
zj77OUnaa_aynsc6l-la4A,chef-teriyaki-hayward-3,Chef Teriyaki,False,820,Japanese,4.0,['pickup'],$,26960 Hesperian Blvd,Hayward,US,CA,"['26960 Hesperian Blvd', 'Hayward, CA 94545']",+15103988885
phUdcIxWnhz_pa6rXYWBpw,lokanta-grill-and-bar-pleasanton-2,Lokanta Grill & Bar,False,800,Mediterranean,4.0,"['restaurant_reservation', 'pickup', 'delivery']",$$,443 Main St,Pleasanton,US,CA,"['443 Main St', 'Pleasanton, CA 94566']",+19252238074
56c16Ps5rC3S3bO2ZnUA2Q,mil-s-diner-milpitas,Mil’s Diner,False,824,Diners,4.0,['delivery'],$$,36 S Abbott Ave,Milpitas,US,CA,"['36 S Abbott Ave', 'Milpitas, CA 95035']",+14089464773
Hf3h4YNR8eL0Xdf5yygmIA,sia-fusion-eatery-newark,Sia Fusion Eatery,False,825,Asian Fusion,4.0,"['pickup', 'delivery']",$$,39263 Cedar Blvd,Newark,US,CA,"['39263 Cedar Blvd', 'Newark, CA 94560']",+15107948852
aW0blLKFlnnWpgIFzveHZA,i-tea-milpitas,i-Tea,False,827,Ramen,4.0,['delivery'],$,760 E Calaveras Blvd,Milpitas,US,CA,"['760 E Calaveras Blvd', 'Milpitas, CA 95035']",+14082622988
qDVyDfKzYTG3-iCeRNzCuA,la-catalana-san-jose,La Catalana,False,799,Tapas Bars,4.0,"['pickup', 'delivery']",$$,3720 N 1st St,San Jose,US,CA,"['3720 N 1st St', 'Ste 10', 'San Jose, CA 95134']",+14083241321
wRYzAXNCO_izJK5GTR715A,la-fiesta-restaurant-mountain-view-2,La Fiesta Restaurant,False,847,Mexican,4.0,['delivery'],$$,240 Villa St,Mountain View,US,CA,"['240 Villa St', 'Mountain View, CA 94041']",+16509681364
7BlSd63UNfopUCwSAQfVBw,teo-chow-noodle-shack-fremont,Teo Chow Noodle Shack,False,848,Chinese,4.0,"['pickup', 'delivery']",$$,4165 Cushing Pkwy,Fremont,US,CA,"['4165 Cushing Pkwy', 'Fremont, CA 94538']",+15106572800
8Hw3jcryyNbLukYk7IqucA,la-milpa-milpitas,La Milpa,False,852,Mexican,4.0,['delivery'],$$,107 N Milpitas Blvd,Milpitas,US,CA,"['107 N Milpitas Blvd', 'Milpitas, CA 95035']",+14089456540
SkC9q60OAEM_T8k6ECVVgQ,orens-hummus-mountain-view-3,Oren's Hummus,False,875,Mediterranean,4.0,"['pickup', 'delivery']",$$,126 Castro St,Mountain View,US,CA,"['126 Castro St', 'Mountain View, CA 94041']",+16509386736
exmnsc3xUR-GbwppCX_8FA,casa-azteca-milpitas,Casa Azteca,False,753,Mexican,4.0,"['restaurant_reservation', 'pickup']",$$,20 N Abel St,Milpitas,US,CA,"['20 N Abel St', 'Milpitas, CA 95035']",+14089460466
zO5D1G5WAS5zuTdkmx0HBg,bills-café-pleasanton-3,Bill's Café,False,793,Breakfast & Brunch,4.0,"['pickup', 'delivery']",$$,3015 Hopyard Rd,Pleasanton,US,CA,"['3015 Hopyard Rd', 'Ste A', 'Pleasanton, CA 94588']",+19254265500
q9_N9SgML9UfDUz5ay49-Q,rogers-deli-mountain-view,Roger's Deli,False,791,Delis,4.0,['pickup'],$,295 E Middlefield Rd,Mountain View,US,CA,"['295 E Middlefield Rd', 'Mountain View, CA 94043']",+16509652204
_anR0d7K6-nwY1Ravk9VuA,o-sushi-newark,O' Sushi,False,785,Sushi Bars,4.0,['delivery'],$$,34940 Newark Blvd,Newark,US,CA,"['34940 Newark Blvd', 'Newark Market Place Shopping Center', 'Newark, CA 94560']",+15107922888
qTSUWmWaX5XyFQU7T60ZjQ,nonnis-bistro-pleasanton-2,Nonni's Bistro,False,889,Modern European,4.0,['delivery'],$$,425 Main St,Pleasanton,US,CA,"['425 Main St', 'Pleasanton, CA 94566']",+19256000411
vthv8ZcJl61kw3wN9LrhWg,mission-pizza-and-pub-fremont,Mission Pizza and Pub,False,775,Pizza,4.0,['delivery'],$$,1572 Washington Blvd,Fremont,US,CA,"['1572 Washington Blvd', 'Fremont, CA 94539']",+15106516858
zNywBR_2w0XXU-uE6wK4rg,baldies-café-union-city-2,Baldie's Café,False,773,Breakfast & Brunch,4.0,['delivery'],$$,2649 Decoto Rd,Union City,US,CA,"['2649 Decoto Rd', 'Union City, CA 94587']",+15104299059
SyR3XRGBJUSe-R5qS0hbcg,jacks-restaurant-and-bar-newark-2,Jack's Restaurant & Bar,False,900,Breakfast & Brunch,4.0,"['pickup', 'delivery']",$$,1029 Newpark Mall Rd,Newark,US,CA,"['1029 Newpark Mall Rd', 'Newark, CA 94560']",+15107890027
